,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,num_immunities,land_speed,fly,climb,swim,spells_nr_lvl_1,spells_nr_lvl_2,spells_nr_lvl_3,spells_nr_lvl_4,spells_nr_lvl_5,spells_nr_lvl_6,spells_nr_lvl_7,spells_nr_lvl_8,spells_nr_lvl_9,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,acid_resistance,all_damage_resistance,bludgeoning_resistance,cold_resistance,electricity_resistance,fire_resistance,mental_resistance,physical_resistance,piercing_resistance,poison_resistance,slashing_resistance,area_damage_weakness,cold_weakness,cold_iron_weakness,evil_weakness,fire_weakness,good_weakness,slashing_weakness,splash_damage_weakness,level
19,6,2,5,-3,5,1,28,155,18,20,17,18,0,3,20.0,40,0,0,0,0,0,0,0,0,0,0,0,21,19.0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
20,2,5,1,-5,0,-5,23,65,9,10,14,7,0,13,30.0,0,0,0,0,0,0,0,0,0,0,0,0,14,13.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21,6,2,6,-4,4,-2,21,85,11,15,9,11,0,0,25.0,0,0,20,0,0,0,0,0,0,0,0,0,15,17.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,3,2,4,-5,0,-1,18,34,4,10,6,4,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
23,3,1,2,-2,0,2,14,24,3,7,4,3,1,4,20.0,20,0,0,1,0,0,0,0,0,0,0,0,8,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,7,2,5,2,3,5,33,185,20,24,19,20,1,2,50.0,120,0,0,4,4,4,3,2,0,0,0,0,24,22.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
25,5,5,4,2,3,1,24,120,15,17,14,13,1,0,35.0,0,0,0,0,4,1,1,0,0,0,0,0,17,14.5,18,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
26,2,2,2,2,2,2,15,22,7,7,7,7,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,8,5,5,-3,5,0,30,170,21,21,19,17,0,0,20.0,0,0,50,0,0,0,0,0,0,0,0,0,24,18.0,0,0.0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
28,0,3,1,-4,1,-2,16,15,5,5,9,3,0,0,15.0,0,0,25,0,0,0,0,0,0,0,0,0,7,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,2,2,2,2,2,15,22,7,7,7,7,0,0,25.0,20,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,0,4,0,-2,0,2,17,18,3,5,9,3,1,5,20.0,25,0,0,0,0,0,0,0,0,0,0,0,9,5.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
31,3,3,3,-4,0,-2,18,34,8,9,7,6,0,0,25.0,0,10,0,0,0,0,0,0,0,0,0,0,11,8.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,2,2,2,2,2,2,15,22,7,7,7,7,0,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,4,2,-2,2,1,18,35,8,6,10,8,0,5,30.0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2
34,4,3,2,-2,3,1,18,55,9,9,12,12,1,0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,11,14.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35,3,0,5,-5,0,-5,12,60,6,11,3,4,0,4,10.0,0,10,0,0,0,0,0,0,0,0,0,0,8,7.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36,7,4,5,-2,3,4,27,140,17,19,16,15,0,1,30.0,0,15,0,0,0,0,0,0,0,0,0,0,18,17.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
37,-5,6,0,3,3,6,28,125,18,15,21,18,1,7,0.0,40,0,0,4,2,2,5,5,2,0,0,0,21,21.0,21,14.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
38,0,5,2,2,4,2,22,72,13,9,14,13,1,1,25.0,25,0,0,2,0,2,1,0,0,0,0,0,14,9.0,14,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
39,6,3,4,3,3,4,27,125,17,18,15,15,1,0,30.0,30,0,0,0,2,1,3,1,0,0,0,0,21,20.0,17,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
40,3,3,2,5,5,6,27,115,15,14,15,19,1,0,25.0,0,0,0,5,5,5,4,2,1,0,0,0,18,14.0,0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8
41,5,4,3,-5,0,-5,23,95,12,15,16,12,0,14,25.0,0,0,0,0,0,0,0,0,0,0,0,0,17,17.0,16,13.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6
42,-4,5,4,-5,0,-5,13,155,10,16,15,10,0,2,0.0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,9,0,0,0,0,0,9,10,5,7,0,0,0,0,0,0,7,6
43,6,5,6,0,3,2,30,175,19,22,19,17,1,1,25.0,0,0,0,0,0,1,0,1,0,0,0,0,22,28.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
44,0,4,2,2,4,5,21,67,15,9,15,13,1,1,25.0,0,0,0,0,3,2,0,0,0,0,0,0,13,16.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
45,2,4,3,-5,0,-4,18,20,6,9,10,6,0,2,20.0,15,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,5,2
46,5,4,2,-3,2,2,24,99,14,14,16,12,0,5,40.0,0,20,0,0,0,0,0,0,0,0,0,0,17,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
47,9,5,7,5,7,7,44,355,34,36,32,34,1,3,60.0,160,0,0,4,4,4,6,4,1,3,3,1,36,39.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
48,6,2,6,-2,2,2,22,135,14,18,13,8,0,1,25.0,0,20,0,0,0,0,0,0,0,0,0,0,16,15.0,16,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
49,-2,4,4,-5,2,-4,21,55,11,13,11,9,0,2,30.0,0,30,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,5,5
50,2,3,2,-4,3,0,15,16,7,6,7,5,0,0,0.0,0,0,60,0,0,0,0,0,0,0,0,0,6,5.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6,5,4,0,3,3,28,160,21,17,20,18,1,5,40.0,40,0,0,0,0,0,5,1,1,0,0,0,21,27.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
52,5,4,5,-5,0,-5,26,135,14,17,16,14,0,14,25.0,0,0,0,0,0,0,0,0,0,0,0,0,20,18.5,0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8
53,10,7,7,10,7,6,45,375,37,33,31,35,1,3,35.0,50,0,30,0,0,0,0,2,0,0,4,4,38,40.0,0,0.0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
54,3,3,4,-4,1,-1,16,24,6,6,9,6,0,0,0.0,0,0,40,0,0,0,0,0,0,0,0,0,8,7.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,2,4,-2,0,0,16,19,3,9,7,5,1,5,20.0,25,0,25,0,1,0,0,0,0,0,0,0,7,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
56,7,2,4,0,2,0,24,105,14,17,8,9,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,18,20.0,0,0.0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
57,7,5,5,3,6,8,36,285,26,24,24,27,1,0,35.0,60,0,0,0,0,1,1,3,2,2,0,0,29,36.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14
58,2,3,3,-4,1,-2,18,27,9,9,9,5,0,2,25.0,0,15,15,0,0,0,0,0,0,0,0,0,11,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
59,2,2,2,2,2,2,15,22,7,7,7,7,0,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,7,4,6,-2,4,2,33,215,22,24,20,22,0,3,35.0,0,0,20,0,0,0,0,0,0,0,0,0,25,32.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
61,2,2,2,2,2,2,15,22,7,7,7,7,0,1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,10,5,7,6,8,6,45,375,36,35,33,38,1,3,60.0,200,0,0,0,0,0,0,0,0,0,1,2,38,40.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
63,-1,3,1,2,1,-1,17,14,8,4,10,7,1,1,20.0,40,0,0,1,1,0,1,0,0,0,0,0,8,4.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
64,1,4,2,1,1,0,16,24,6,5,9,6,1,0,20.0,0,20,0,1,0,0,0,0,0,0,0,0,11,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
65,0,3,1,0,2,3,16,20,7,4,10,7,1,0,25.0,0,0,0,0,0,0,1,0,0,0,0,0,6,4.5,6,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,1,3,3,-5,1,-4,16,20,7,6,8,4,0,0,35.0,0,25,0,0,0,0,0,0,0,0,0,0,8,5.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,4,1,4,-1,3,0,20,72,10,14,9,10,0,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,14,13.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
68,3,3,1,4,3,5,22,110,12,13,13,15,1,0,25.0,0,0,0,2,1,1,3,2,0,0,0,0,16,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
69,7,3,7,-1,4,3,33,250,22,25,20,21,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,25,26.5,25,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12
70,2,5,2,-2,2,2,21,75,10,10,13,10,0,1,20.0,0,20,0,0,0,0,0,0,0,0,0,0,13,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4
71,2,4,4,1,4,3,24,100,16,15,16,17,1,0,25.0,0,0,0,4,4,3,0,0,0,0,0,0,16,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
72,6,2,5,-3,5,1,28,155,18,20,17,18,0,3,20.0,40,0,0,0,0,0,0,0,0,0,0,0,21,19.0,0,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
73,9,5,6,5,5,7,42,275,28,30,27,29,1,2,60.0,140,0,0,4,4,4,3,3,3,4,0,0,33,30.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
74,4,0,3,-5,3,0,18,68,10,10,7,8,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,12,10.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3
75,4,3,1,-2,3,1,17,38,7,7,11,9,0,0,30.0,0,20,0,0,0,0,0,0,0,0,0,0,9,6.5,8,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
76,7,8,4,2,2,5,36,280,25,23,28,24,1,0,0.0,75,0,0,1,1,0,2,0,1,2,1,0,29,29.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14
77,4,3,2,0,5,3,21,60,13,8,11,13,0,0,25.0,50,0,0,0,0,0,0,0,0,0,0,0,14,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
78,2,2,2,2,2,2,15,22,7,7,7,7,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,5,2,3,-4,3,-2,19,60,11,13,8,11,0,14,20.0,0,0,0,0,0,0,0,0,0,0,0,0,13,14.0,0,0.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4
80,3,2,3,-4,2,-1,15,30,7,8,7,5,0,0,25.0,0,0,25,0,0,0,0,0,0,0,0,0,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,7,4,5,4,4,5,33,245,25,24,21,20,1,1,30.0,60,0,0,1,1,0,1,3,5,0,0,0,28,29.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12
82,7,3,5,2,6,5,33,215,24,23,21,26,1,1,40.0,0,0,0,0,0,0,2,1,0,1,0,0,25,36.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12
83,4,4,2,2,3,2,22,60,12,9,15,12,1,0,40.0,0,20,0,0,3,2,0,0,0,0,0,0,15,14.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
84,6,4,4,0,3,1,25,110,16,15,17,12,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,18,16.0,0,0.0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,5,0,0,7
85,0,7,5,3,5,7,30,175,20,16,22,18,1,1,25.0,0,0,50,0,0,0,1,2,1,0,0,0,23,21.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
86,3,1,3,2,4,2,21,77,13,11,10,15,1,3,25.0,0,0,0,3,3,2,0,0,0,0,0,0,14,12.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
87,5,2,3,-1,3,4,21,60,11,11,12,14,0,0,35.0,0,0,35,0,0,0,0,0,0,0,0,0,13,14.0,0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,4
88,8,9,6,9,9,6,43,400,35,31,34,34,1,0,35.0,75,0,0,0,0,0,1,2,1,2,0,3,38,41.0,38,41.0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,19
89,8,2,5,2,4,4,34,270,23,26,21,23,1,3,40.0,140,0,40,0,0,0,0,0,2,0,0,0,27,28.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13
90,8,7,9,-3,5,5,40,315,30,32,30,28,1,0,50.0,0,0,0,0,0,0,0,0,0,1,0,1,33,35.5,0,0.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
91,9,5,9,3,6,6,39,310,28,31,25,28,1,4,30.0,80,0,0,1,0,0,1,0,1,1,1,0,33,33.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,16
92,9,6,7,4,7,7,43,335,33,33,30,29,1,2,25.0,50,0,0,1,0,0,1,1,1,2,0,3,37,51.5,35,40.5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,18
93,6,2,3,-4,1,0,21,60,13,12,10,11,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,14,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
94,4,0,3,-5,1,-2,17,60,8,10,7,6,0,5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,11,9.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
95,6,2,5,-3,5,1,28,155,18,20,17,18,0,3,20.0,40,0,0,0,0,0,0,0,0,0,0,0,21,19.0,0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9
96,10,7,10,6,8,6,47,280,37,38,31,34,1,0,70.0,0,0,0,0,0,0,1,0,0,3,0,0,40,45.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20
97,2,4,2,0,2,1,19,50,9,9,11,7,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,11,9.5,11,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
98,2,4,4,4,2,4,22,75,11,11,15,11,1,0,25.0,25,0,25,1,1,3,2,0,0,0,0,0,15,16.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
99,1,4,3,-4,3,0,18,32,7,7,10,7,0,1,35.0,0,15,15,0,0,0,0,0,0,0,0,0,10,7.5,10,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100,-5,6,4,0,4,4,25,95,15,13,17,15,0,6,0.0,40,0,0,0,0,0,0,0,0,0,0,0,16,17.0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
101,1,3,1,-4,1,-4,16,15,6,5,7,5,0,0,0.0,0,0,30,0,0,0,0,0,0,0,0,0,7,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,5,5,3,-2,3,4,28,152,18,20,18,16,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,20,20.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
103,4,3,1,0,2,0,18,30,8,5,11,8,0,0,5.0,0,0,35,0,0,0,0,0,0,0,0,0,10,10.5,9,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104,5,2,5,0,2,2,19,90,12,13,10,8,0,1,30.0,0,0,0,0,0,0,0,0,0,0,0,0,13,12.0,10,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4
105,0,4,1,1,0,3,18,17,5,4,9,8,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.5,9,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,4,0,3,-2,3,0,16,40,9,11,4,9,0,5,20.0,0,0,20,0,0,0,0,0,0,0,0,0,10,8.5,0,0.0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,2
107,8,4,6,4,6,5,37,275,29,27,25,27,1,3,50.0,180,0,0,0,0,0,0,0,0,3,0,0,30,30.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
108,3,4,2,-3,2,-2,20,45,9,9,11,7,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
109,4,1,3,-5,1,-5,17,32,5,9,7,5,0,0,5.0,0,0,20,0,0,0,0,0,0,0,0,0,10,8.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110,8,4,6,4,5,6,42,390,33,34,30,31,1,3,50.0,200,0,50,0,0,0,1,0,0,0,3,0,36,32.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,18
111,4,6,2,6,4,2,25,90,17,13,17,15,1,2,30.0,30,0,0,0,1,2,1,0,0,0,1,0,17,16.0,0,0.0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,7
112,7,3,5,4,6,6,36,254,28,26,23,26,1,3,50.0,160,0,0,4,5,5,3,3,1,0,0,0,29,31.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
113,5,1,3,1,2,4,27,105,15,16,14,15,1,2,40.0,100,0,0,4,3,2,0,0,0,0,0,0,18,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
114,6,4,4,-5,2,-4,23,70,13,15,13,9,0,0,30.0,0,30,0,0,0,0,0,0,0,0,0,0,15,17.0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
115,5,-3,4,-5,0,-2,15,45,4,10,3,6,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,11,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2
116,6,4,2,1,6,2,22,80,15,11,13,15,0,5,15.0,30,0,0,0,0,0,0,0,0,0,0,0,15,13.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
117,0,3,1,0,1,4,16,25,6,6,10,6,1,0,20.0,0,0,30,2,1,0,0,0,0,0,0,0,7,3.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
118,2,6,4,2,4,0,25,100,15,16,18,14,1,2,30.0,60,0,0,0,1,1,4,0,0,0,0,0,18,18.0,0,0.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,7
